name	sentiment	lyrics
"Vroom Vroom"	5	"(Vroom, vroom) Bitches know they can't catch me (Vroom, vroom) Cute, sexy and my ride's sporty (Vroom, vroom) Those slugs know they can't catch me (Vroom, vroom) Beep, beep, so let's ride (Vroom, vroom) Bitches know they can't catch me (Vroom, vroom) Cute, sexy and my ride's sporty (Vroom, vroom) Those slugs know they can't catch me (Vroom, vroom) Beep, beep, so let's ride"
"In The City"	3	"I never thought I would find it But I found what I was lookin' for I never thought I would find it But I found what I was lookin' for I found it in the"
"Boom Clap"	4	"Boom clap, the sound of my heart The beat goes on and on and on and on and Boom clap, you make me feel good Come on to me, come on to me now Boom clap, the sound of my heart The beat goes on and on and on and on and Boom clap, you make me feel good Come on to me, come on to me now"
"claws"	4	"I like, I like, I like, I like, I like everything about you I like, I like, I like, I like, I like everything about you I like, I like, I like, I like, I like everything about you I like, I like, I like, I like, I like everything about you"
"pink diamond"  4   "I just wanna go real hard, I just wanna go real hard Pink diamond in the dark I just wanna go real hard, I just wanna go real hard I just wanna go real hard, I just wanna go real hard Pink diamond in the dark I just wanna go real hard, I just wanna go real hard"
"detonate"  4  "Hurt me, know you won't hurt me I'm about to detonate Pull you close, and then, I'll be gone Sorry, never say sorry All my silence resonates Think you worked me out, but you're wrong Dirty, I can talk dirty I can make you feel so sick Switch your faith and leave you so low Hurt me, know you'll never hurt me I'm about to detonate Pull you close, and then, I'll be gone"
"enemy" 4   "Maybe you're my enemy Now I've finally let you come a little close to me, oh Maybe you're my enemy You're the only one who knows the way I really feel, oh Now it's really clear to me You could do a little damage, you could cut me deeper Maybe you're my enemy Baby, you're my enemy, yeah"
"i finally understand"  4   "That baby, I love you bad 'Cause lately, I finally understand That maybe this feeling that I've found Might kill me, put me in the ground"
"party 4 u" 4   "I only threw this party for you Only threw this party for you, for you, for you I was hopin' you would come through I was hopin' you would come through, it's true, it's true Only threw this party for you I only threw this party for you, for you, for you I'm about to party on you Watch me, watch me party on you, yeah"
"7 years"   4   "I know that look inside my eyes means always Even if we fall apart, split two ways Used to be afraid to say it, that's so strange Seven years and it's been you and I, always Really complicated, we're too deep, babe (Deep, babe) Really sad, the way our song drives me insane (Me insane) Used to be afraid to say it, now that's changed Seven years and it's been you and I, always"
